STAGE_NAME,MAPPED_STAGE_NAME,SORT_ORDER
Lead,Lead,1
Contacting,Lead,2
New Opportunity,Lead,3
In Discussion,Qualified Lead,4
Trial Day Set,Contacted,5
Grooming Appointment Set,Contacted,6
Boarding Reservation Set,Contacted,7
Trial Day Complete,Contacted,8
Grooming Appointment Complete,Contacted,9
Boarding Reservation Complete,Contacted,10
Daycare Package Purchased,Closed Won,11
Invoiced,Closed Won,12
Closed Won,Closed Won,13
Trial Day No Show,Closed Lost,14
Grooming Appointment No Show / Cancelled,Closed Lost,15
Boarding No Show / Cancelled,Closed Lost,16
Spam,Closed Lost,17
Duplicate,Closed Lost,18
Closed Lost,Closed Lost,19
