Primary_city,State_Code,Time_Zone,Latitude,Longitude,State_Name
Holtsville,NY,America/New_York,40.81,-73.04,New York
Adjuntas,PR,America/Puerto_Rico,18.16,-66.72,Puerto Rico
Aguada,PR,America/Puerto_Rico,18.38,-67.18,Puerto Rico
Aguadilla,PR,America/Puerto_Rico,18.43,-67.15,Puerto Rico
Maricao,PR,America/Puerto_Rico,18.18,-66.98,Puerto Rico
Anasco,PR,America/Puerto_Rico,18.28,-67.14,Puerto Rico
Angeles,PR,America/Puerto_Rico,18.28,-66.79,Puerto Rico
Arecibo,PR,America/Puerto_Rico,18.45,-66.73,Puerto Rico
Bajadero,PR,America/Puerto_Rico,18.42,-66.67,Puerto Rico
Barceloneta,PR,America/Puerto_Rico,18.45,-66.56,Puerto Rico
Boqueron,PR,America/Puerto_Rico,17.99,-67.15,Puerto Rico
Cabo Rojo,PR,America/Puerto_Rico,18.08,-67.14,Puerto Rico
Penuelas,PR,America/Puerto_Rico,18.06,-66.72,Puerto Rico
Camuy,PR,America/Puerto_Rico,18.48,-66.84,Puerto Rico
Castaner,PR,America/Puerto_Rico,18.19,-66.82,Puerto Rico
Rosario,PR,America/Puerto_Rico,18.15,-67.06,Puerto Rico
Sabana Grande,PR,America/Puerto_Rico,18.08,-66.96,Puerto Rico
Ciales,PR,America/Puerto_Rico,18.33,-66.47,Puerto Rico
Utuado,PR,America/Puerto_Rico,18.27,-66.7,Puerto Rico
Dorado,PR,America/Puerto_Rico,18.47,-66.27,Puerto Rico
Ensenada,PR,America/Puerto_Rico,17.96,-66.94,Puerto Rico
Florida,PR,America/Puerto_Rico,18.36,-66.56,Puerto Rico
Garrochales,PR,America/Puerto_Rico,18.45,-66.6,Puerto Rico
Guanica,PR,America/Puerto_Rico,17.99,-66.89,Puerto Rico
Guayanilla,PR,America/Puerto_Rico,18.02,-66.79,Puerto Rico
Hatillo,PR,America/Puerto_Rico,18.48,-66.82,Puerto Rico
Hormigueros,PR,America/Puerto_Rico,18.14,-67.12,Puerto Rico
Isabela,PR,America/Puerto_Rico,18.5,-67.02,Puerto Rico
Jayuya,PR,America/Puerto_Rico,18.22,-66.59,Puerto Rico
Lajas,PR,America/Puerto_Rico,18.04,-67.06,Puerto Rico
Lares,PR,America/Puerto_Rico,18.29,-66.88,Puerto Rico
Las Marias,PR,America/Puerto_Rico,18.27,-67.06,Puerto Rico
Manati,PR,America/Puerto_Rico,18.43,-66.48,Puerto Rico
Moca,PR,America/Puerto_Rico,18.39,-67.11,Puerto Rico
Rincon,PR,America/Puerto_Rico,18.34,-67.25,Puerto Rico
Quebradillas,PR,America/Puerto_Rico,18.47,-66.93,Puerto Rico
Mayaguez,PR,America/Puerto_Rico,18.2,-67.14,Puerto Rico
Mayaguez,PR,America/Puerto_Rico,18.22,-67.16,Puerto Rico
San German,PR,America/Puerto_Rico,18.08,-67.04,Puerto Rico
San Sebastian,PR,America/Puerto_Rico,18.33,-66.99,Puerto Rico
Morovis,PR,America/Puerto_Rico,18.32,-66.4,Puerto Rico
Sabana Hoyos,PR,America/Puerto_Rico,18.38,-66.62,Puerto Rico
San Antonio,PR,America/Puerto_Rico,18.49,-67.09,Puerto Rico
Vega Alta,PR,America/Puerto_Rico,18.41,-66.32,Puerto Rico
Vega Baja,PR,America/Puerto_Rico,18.44,-66.39,Puerto Rico
Vega Baja,PR,America/Puerto_Rico,18.48,-66.39,Puerto Rico
Yauco,PR,America/Puerto_Rico,18.03,-66.86,Puerto Rico
Aguas Buenas,PR,America/Puerto_Rico,18.25,-66.1,Puerto Rico
Aguirre,PR,America/Puerto_Rico,17.96,-66.22,Puerto Rico
Aibonito,PR,America/Puerto_Rico,18.14,-66.26,Puerto Rico
Maunabo,PR,America/Puerto_Rico,18,-65.9,Puerto Rico
Arroyo,PR,America/Puerto_Rico,17.97,-66.06,Puerto Rico
