Type,Period,Addback_Amount
Value Creation Fee,May-25,"33,333"
Master Services Agreement,May-25,0
Access Charges,May-25,"10,000"
Recruiting Fees,May-25,0
Acquisition/De Novo Travel,May-25,0
M&A Expense,May-25,"1,32,111"
Severance & Other One Time Pay,May-25,0
Integration Charges,May-25,0
Other addbacks,May-25,0
Value Creation Fee,Apr-25,"33,333"
Master Services Agreement,Apr-25,0
Access Charges,Apr-25,"10,000"
Recruiting Fees,Apr-25,0
Acquisition/De Novo Travel,Apr-25,0
M&A Expense,Apr-25,0
Severance & Other One Time Pay,Apr-25,0
Integration Charges,Apr-25,0
Other addbacks,Apr-25,0
Value Creation Fee,Mar-25,"33,333"
Master Services Agreement,Mar-25,0
Access Charges,Mar-25,"10,000"
Recruiting Fees,Mar-25,0
Acquisition/De Novo Travel,Mar-25,0
M&A Expense,Mar-25,0
Severance & Other One Time Pay,Mar-25,0
Integration Charges,Mar-25,0
Other addbacks,Mar-25,0
Value Creation Fee,Feb-25,"33,333"
Master Services Agreement,Feb-25,"46,018"
Access Charges,Feb-25,"10,000"
Recruiting Fees,Feb-25,"32,500"
Acquisition/De Novo Travel,Feb-25,0
M&A Expense,Feb-25,"17,500"
Severance & Other One Time Pay,Feb-25,0
Integration Charges,Feb-25,0
Other addbacks,Feb-25,0
Value Creation Fee,Jan-25,"33,333"
Master Services Agreement,Jan-25,0
Access Charges,Jan-25,"10,000"
Recruiting Fees,Jan-25,0
Acquisition/De Novo Travel,Jan-25,0
M&A Expense,Jan-25,"17,500"
Severance & Other One Time Pay,Jan-25,"1,07,650"
Integration Charges,Jan-25,0
Other addbacks,Jan-25,0
