LOCATION,DAY,TIME_FROM,TIME_TO
Christine Parisi,wednesday,07:00,19:00
Christine Parisi,thursday,07:00,19:00
Christine Parisi,monday,07:00,19:00
Christine Parisi,saturday,09:00,17:00
Christine Parisi,tuesday,07:00,19:00
Christine Parisi,friday,07:00,19:00
Christine Parisi,sunday,11:00,16:00
Devan Reed,tuesday,06:00,20:00
Devan Reed,sunday,08:00,18:00
Devan Reed,wednesday,06:00,20:00
Devan Reed,saturday,08:00,18:00
Devan Reed,friday,06:00,20:00
Devan Reed,thursday,06:00,20:00
Devan Reed,monday,06:00,20:00
Dobro Club,thursday,07:00,19:00
Dobro Club,saturday,09:00,17:00
Dobro Club,sunday,11:00,16:00
Dobro Club,tuesday,07:00,19:00
Dobro Club,wednesday,07:00,19:00
Dobro Club,friday,07:00,19:00
Dobro Club,monday,07:00,19:00
Dylan Feulner,monday,07:00,19:00
Dylan Feulner,wednesday,07:00,19:00
Dylan Feulner,sunday,11:00,16:00
Dylan Feulner,tuesday,07:00,19:00
Dylan Feulner,friday,07:00,19:00
Dylan Feulner,saturday,09:00,17:00
Dylan Feulner,thursday,07:00,19:00
Gold Coast Club,tuesday,07:00,19:00
Gold Coast Club,friday,07:00,19:00
Gold Coast Club,wednesday,07:00,19:00
Gold Coast Club,monday,07:00,19:00
Gold Coast Club,thursday,07:00,19:00
Gold Coast Club,saturday,09:00,17:00
Gold Coast Club,sunday,11:00,16:00
Harley Donegan,tuesday,07:00,19:00
Harley Donegan,thursday,07:00,19:00
Harley Donegan,friday,07:00,19:00
Harley Donegan,monday,07:00,19:00
Harley Donegan,wednesday,07:00,19:00
Isaac Martinez,tuesday,07:00,19:00
Isaac Martinez,saturday,09:00,17:00
Isaac Martinez,thursday,07:00,19:00
Isaac Martinez,wednesday,07:00,19:00
Isaac Martinez,sunday,11:00,16:00
Isaac Martinez,monday,07:00,19:00
Isaac Martinez,friday,07:00,19:00
Jill Brown,thursday,09:00,17:00
Jill Brown,wednesday,09:00,17:00
Jill Brown,monday,09:00,17:00
Jill Brown,friday,09:00,17:00
Jill Brown,tuesday,09:00,17:00
Lakeshore East Club,monday,07:00,19:00
Lakeshore East Club,wednesday,07:00,19:00
Lakeshore East Club,saturday,09:00,17:00
Lakeshore East Club,thursday,07:00,19:00
Lakeshore East Club,sunday,11:00,16:00
Lakeshore East Club,tuesday,07:00,19:00
Lakeshore East Club,friday,07:00,19:00
Lakeview Club,friday,07:00,19:00
Lakeview Club,saturday,09:00,17:00
Lakeview Club,tuesday,07:00,19:00
Lakeview Club,thursday,07:00,19:00
Lakeview Club,monday,07:00,19:00
Lakeview Club,sunday,11:00,16:00
Lakeview Club,wednesday,07:00,19:00
Luis Hernandez,saturday,09:00,17:00
Luis Hernandez,sunday,11:00,16:00
Luis Hernandez,thursday,07:00,19:00
Luis Hernandez,friday,07:00,19:00
Luis Hernandez,tuesday,07:00,19:00
Luis Hernandez,monday,07:00,19:00
Luis Hernandez,wednesday,07:00,19:00
Maddisen Daly,friday,05:00,22:00
