sk_location_id,Location,Service,Day,Capacity
2-pawville,Jacksonville,Boarding,mon,75
2-pawville,Jacksonville,Boarding,tue,75
2-pawville,Jacksonville,Boarding,wed,75
2-pawville,Jacksonville,Boarding,thur,75
2-pawville,Jacksonville,Boarding,fri,75
2-pawville,Jacksonville,Boarding,sat,75
2-pawville,Jacksonville,Boarding,sun,75
7-pawville,Pawleys,Boarding,mon,86
7-pawville,Pawleys,Boarding,tue,86
7-pawville,Pawleys,Boarding,wed,86
7-pawville,Pawleys,Boarding,thur,86
7-pawville,Pawleys,Boarding,fri,86
7-pawville,Pawleys,Boarding,sat,86
7-pawville,Pawleys,Boarding,sun,86
3-pawville,North Shore,Boarding,mon,42
3-pawville,North Shore,Boarding,tue,42
3-pawville,North Shore,Boarding,wed,42
3-pawville,North Shore,Boarding,thur,42
3-pawville,North Shore,Boarding,fri,42
3-pawville,North Shore,Boarding,sat,42
3-pawville,North Shore,Boarding,sun,42
8-pawville,Northchase,Boarding,mon,58
8-pawville,Northchase,Boarding,tue,58
8-pawville,Northchase,Boarding,wed,58
8-pawville,Northchase,Boarding,thur,58
8-pawville,Northchase,Boarding,fri,58
8-pawville,Northchase,Boarding,sat,58
8-pawville,Northchase,Boarding,sun,58
6-pawville,Scotts Hill,Boarding,mon,104
6-pawville,Scotts Hill,Boarding,tue,104
6-pawville,Scotts Hill,Boarding,wed,104
6-pawville,Scotts Hill,Boarding,thur,104
6-pawville,Scotts Hill,Boarding,fri,104
6-pawville,Scotts Hill,Boarding,sat,104
6-pawville,Scotts Hill,Boarding,sun,104
1-pawville,Surf City,Boarding,mon,55
1-pawville,Surf City,Boarding,tue,55
1-pawville,Surf City,Boarding,wed,55
1-pawville,Surf City,Boarding,thur,55
1-pawville,Surf City,Boarding,fri,55
1-pawville,Surf City,Boarding,sat,55
1-pawville,Surf City,Boarding,sun,55
9-pawville,Winder,Boarding,mon,85
9-pawville,Winder,Boarding,tue,85
9-pawville,Winder,Boarding,wed,85
9-pawville,Winder,Boarding,thur,85
9-pawville,Winder,Boarding,fri,85
9-pawville,Winder,Boarding,sat,85
9-pawville,Winder,Boarding,sun,85
10-pawville,Citrus,Boarding,mon,70
10-pawville,Citrus,Boarding,tue,70
10-pawville,Citrus,Boarding,wed,70
10-pawville,Citrus,Boarding,thur,70
10-pawville,Citrus,Boarding,fri,70
10-pawville,Citrus,Boarding,sat,70
10-pawville,Citrus,Boarding,sun,70
5-pawville,Midtown,Boarding,mon,94
5-pawville,Midtown,Boarding,tue,94
5-pawville,Midtown,Boarding,wed,94
5-pawville,Midtown,Boarding,thur,94
5-pawville,Midtown,Boarding,fri,94
5-pawville,Midtown,Boarding,sat,94
5-pawville,Midtown,Boarding,sun,94
10-pawville,Citrus,Daycare,mon,15
10-pawville,Citrus,Daycare,tue,15
10-pawville,Citrus,Daycare,wed,15
10-pawville,Citrus,Daycare,thur,15
10-pawville,Citrus,Daycare,fri,15
10-pawville,Citrus,Daycare,sat,15
10-pawville,Citrus,Daycare,sun,15
2-pawville,Jacksonville,Daycare,mon,48
