METRIC_L1,METRIC_L2,METRIC_L3,METRIC_L4,METRIC_L5,METRIC_L6,ACCOUNT_ID,DEPARTMENT_ID,CLASS_ID,LOCATION_ID,SUBSIDIARY_ID,ACCOUNT_NAME,DEPARTMENT_NAME
,,,,,,1,,,,1,1000 Checking,
Equity,Equity,Retained Earnings,,,,52,,,,1,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,2,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,3,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,4,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,5,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,6,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,11,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,16,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,19,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,20,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,21,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,22,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,23,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,24,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,25,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,26,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,28,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,29,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,31,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,32,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,33,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,35,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,36,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,37,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,39,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,41,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,42,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,43,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,44,310000 Equity : Retained Earnings,
Equity,Equity,Retained Earnings,,,,52,,,,45,310000 Equity : Retained Earnings,
Equity,Opening Balance,,,,,53,,,,1,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,2,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,3,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,4,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,5,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,6,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,11,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,16,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,19,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,20,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,21,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,22,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,23,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,24,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,25,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,26,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,28,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,29,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,31,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,32,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,33,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,35,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,36,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,37,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,39,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,41,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,42,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,43,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,44,3200 Opening Balance,
Equity,Opening Balance,,,,,53,,,,45,3200 Opening Balance,
Revenue,Sales,,,,,54,,,,1,4000 Sales,
Revenue,Sales,,,,,54,,,,2,4000 Sales,
Revenue,Sales,,,,,54,,,,3,4000 Sales,
