HR_LOCATION_NAME,HR_SHORT_NAME,LOCATION_NAME,DIM_LOCATION_ID
Z- inactive - 1580 All Seasons Marina,All Seasons Marina,,
Z - inactive - 1635 Anchor Cafe,Anchor Cafe,Grand Dunes Anchor Café,61
Z - inactive 1200 Annapolis Town Dock,Annapolis Town Dock,Annapolis Town Dock,31
Z- inactive - 2015 Bad Boy Taqueria and Tequila,Bad Boy Taqueria and Tequila,,
z - inactive 0600 Baltimore Yacht Basin,Baltimore Yacht Basin,Baltimore Yacht Basin,91
Z - inactive - 1440 Battery Park Marina,Battery Park Marina,Battery Park Sandusky LLC,45
Z - inactive - 1520 Big Water Marina,Big Water Marina,,
Z-Inactive 4025 Boathouse Grille,Boathouse Grille,,
z-inactive 1230 Cambridge Municipal Yacht Basin,Cambridge Municipal Yacht Basin,Cambridge Municipal Yacht Basin,35
Z - Inactive 1840 Cape Charles Yacht Center,Cape Charles Yacht Center,Cape Charles Yacht Center,100
Cape Haze Marina,Cape Haze Marina,Cape Haze Marina,132
Z - Inactive 2090 Clearwater Beach Marina,Clearwater Beach Marina,Clearwater Beach Marina,118
Z- Inactive1500 Clinton Street Marina,Clinton Street Marina,Clinton Street,52
Z - Inactive closed locations,closed locations,,
x - inactive - 1740 Coles Point Marina,Coles Point Marina,Coles Point,97
Z - inactive - 1000 Coles Point Marina,Coles Point Marina,Coles Point,97
Corporate Headquarters,Corporate Headquarters,,
Dania Beach Marina,Dania Beach Marina,Dania Beach Marina,133
Z- Inactive 1870 Doynes Marine,Doynes Marine,Doynes Marine,103
z - Inactive 1805 Drift Bar - Baltimore,Drift BarBaltimore,,
Z - Inactive 1900 Eddy Creek Marina Resort,Eddy Creek Marina Resort,Eddy Creek Marina Resort,110
Fernandina Harbor Marina,Fernandina Harbor Marina,Fernandina Harbor Marina,50
Z- inactive - 1860 Four Fish Marina,Four Fish Marina,Four Fish Marina,102
Z- Inactive - 1530 Ft George Island Marina,Ft George Island Marina,Ft George Island,54
Z - inactive - 1790 Gingerville Marine Center,Gingerville Marine Center,Gingerville Yachting Center,76
Z - inactive - 3000 GML-Grande Dunes Marina,GML-Grande Dunes Marina,,
Z - inactive - 1330 Goose Bay Marina and Campground,Goose Bay Marina and Campground,,
Z- inactive1630 Grande Dunes Marina,Grande Dunes Marina,Grande Dunes Marina,119
z- inactive - 1650 Greenwich Cove Marina,Greenwich Cove Marina,,
z- inactive - 1510 Gunpowder Cove Marina,Gunpowder Cove Marina,Gunpowder Cove Marina,53
z inactive - 0200 Harbor East Marina,Harbor East Marina,Harbor East Marina,27
Z - inactive - 2050 Harbor Lights Marina,Harbor Lights Marina,Harbor Lights Marina,116
Z - Inactive 1470 Harris Bay Yacht Club,Harris Bay Yacht Club,Harris Bay Yacht Club,48
Z - inactive - 1260 Hope Springs Marina,Hope Springs Marina,,
z- inactive - 1480 Hyatt Regency River Marsh Marina,Hyatt Regency River Marsh Marina,,
Z - Inactive1280 Inner Harbor Marina,Inner Harbor Marina,Inner Harbor Marina,37
z - Inactive 4030 JMK5 Marina,JMK5 Marina,JMK5 Marina,142
z - Inactive 1859 Kalyumet Campground,Kalyumet Campground,Kalyumet Campground,101
z - inactive 3040 KF Grande Dunes Marina,KF Grande Dunes Marina,KF Grande Dunes Marina,129
Z - inactive - 1770 Lakeshore Resort and Marina,Lakeshore Resort and Marina,Lakeshore Marina,75
Lighthouse Point Marina,Lighthouse Point Marina,,
Z-inactive - 1270 Lighthouse Point Marina,Lighthouse Point Marina,,
z - inactive - 1350 Lighthouse Pool,Lighthouse Pool,Lighthouse Pool,94
Z - inactive - 1560 Marina First,Marina First,,
Z- inactive - 1730 Marinas at Hammock Beach Resort,Marinas at Hammock Beach Resort,Hammock Beach Marina,71
Market Docks at the Wharf Marina,Market Docks at the Wharf Marina,,
Z - inactive - 1600 Marriott Hutchinson Island Marina,Marriott Hutchinson Island Marina,Marriott Hutchinson Island Beach Resort,57
Z - inactive - 1550 Maryland Yacht Club,Maryland Yacht Club,,
Z - inactive - 1660 McDaniel Yacht Basin,McDaniel Yacht Basin,,
Z - inactive - 1400 McDaniel Yacht Basin,McDaniel Yacht Basin,,
z - inactive 0001 MMG Corporate DC Office,MMG Corporate DC Office,"MMG, LLC",84
Z - Inactive 1250 National Harbor Marina,National Harbor Marina,National Harbor,36
z - inactive - 1590 Nautilus Point Marina,Nautilus Point Marina,Nautilus Point Marina,56
Z - inactive - 1880 Noank Shipyard,Noank Shipyard,Noank Shipyard,105
Z- inactive 1450 North Coast Harbor,North Coast Harbor,North Coast Harbor,46
z- inactive - 1760 Northwest Creek Marina,Northwest Creek Marina,"Northwest Creek Marina, LLC",74
Z - inactive - 1420 Norview Marina,Norview Marina,,
Z - Inactive 1680 Norview Marina,Norview Marina,,
Oasis Marinas at Port Lorain,Oasis Marinas at Port Lorain,Oasis Marinas @ Port Lorain,43
Z - inactive - 1700 Old Harbor Marina,Old Harbor Marina,Old Harbor Marina (EPUM),68
Z - inactive - 1570 Pennell's Marine,Pennell's Marine,,
z- inactive - 2030 Plattsburg Boat Basin,Plattsburg Boat Basin,Plattsburgh Boat Basin,114
Z - inactive - 1540 Port Clinton Marina,Port Clinton Marina,Port Clinton Marina,55
z- inactive - 1830 Port Conneaut Marina,Port Conneaut Marina,Port Conneaut Marina,99
Z - inactive 1360 Port Covington Marina,Port Covington Marina,Port Covington Marina,95
Z - inactive - 1430 Rockhold Creek Marina,Rockhold Creek Marina,Rod & Reel Inc.,73
Z - inactive - 1750 Rod N Reel Marina,Rod N Reel Marina,,
Z-Inactive 4009 Serendipity Resort & Campground,Serendipity Resort & Campground,Serendipity Resort & Campground,138
Z-Inactive 4010 Shady Harbor Marina,Shady Harbor Marina,Shady Harbor Marina,139
Z - inactive - 1410 Shelter Cove Yacht Basin,Shelter Cove Yacht Basin,,
Z - Inactive 1670 Shelter Cove Yacht Basin,Shelter Cove Yacht Basin,,
z - inactive 1825 Signals Grille,Signals Grille,,
Skipjack Cove Marina,Skipjack Cove Marina,Skipjack Cove,98
Z - inactive - 1890 Spicers Marina,Spicers Marina,Spicers Marina,106
St. Augustine Marine Center,St. Augustine Marine Center,St. Augustine Marine Center,117
Z- inactive - 3030 Sunset Bay Marina & Anchorage,Sunset Bay Marina & Anchorage,Sunset Bay Marina & Anchorage,127
Z - inactive - 1720 Sunset Harbor Marina,Sunset Harbor Marina,Sunset Harbor Marina (EPUM),70
Z- Inactive 2010 The Perry Marina,The Perry Marina,The Perry Marina,111
The Wharf Marina,The Wharf Marina,The Wharf marina,32
z inactive 0400 The Yards Marina,The Yards Marina,The Yards Marina,28
z- inactive 1620 Troy Downtown Marina,Troy Downtown Marina,,
z- Inactive 1640 Venetian Marina and Yacht Club,Venetian Marina and Yacht Club,Venetian Marina & Yacht Club,62
z-inactive - 1460 Westshore Yacht Club,Westshore Yacht Club,Westshore Yacht Club,47
z- inactive - 3020 Williams Island Marina,Williams Island Marina,Williams Island Marina,120
Z - inactive - 3010 YMCU - Ft. George Marina,YMCUFt. George Marina,Ft George Island,54

