Type,Period,Addback_Amount
Equity Compensation,Jul-25,0
Access Quarterly Fees,Jul-25,0
BOD Compensation & Expenses,Jul-25,9166000
Professional Fees - Legal/E78/Consultants,Jul-25,54966890
Placement Fees for RIF terminations,Jul-25,0
Severance & One-time Bonuses,Jul-25,0
Windward Transition Fees,Jul-25,0
St. Augustine - Bonus Agreements,Jul-25,0
EBITDA of sold properties,Jul-25,0
Other,Jul-25,0
Equity Compensation,Jul-24,10985680
Access Quarterly Fees,Jul-24,67532530
BOD Compensation & Expenses,Jul-24,12289610
Professional Fees - Legal/E78/Consultants,Jul-24,46620000
Placement Fees for RIF terminations,Jul-24,0
Severance & One-time Bonuses,Jul-24,0
Windward Transition Fees,Jul-24,10416670
St. Augustine - Bonus Agreements,Jul-24,6863000
EBITDA of sold properties,Jul-24,0
Other,Jul-24,9282888
