Type,Period,Addback_Amount
(04) Non-cash losses from asset dispositions,Jan-25,197000
(05) Equity compensation expense and impairment charges,Jan-25,299000
(06) Transaction costs related to loan,Jan-25,0
(07) Administrative agent fees related to loan,Jan-25,39000
(08) Management fees paid to Access Holdings and BOD fees,Jan-25,115000
(09) Purchase price adjustments; items covered by indemnification,Jan-25,0
(10) Costs related to permitted acquisitions,Jan-25,0
(10a) Costs related to permitted acquisitions - consummated,Jan-25,992000
(10b) Costs related to permitted acquisitions - dead deals,Jan-25,4000
(10) Costs related to permitted acquisitions,Jan-25,996000
(13) Non cash items related to purchase accounting adjustments,Jan-25,0
(14) Synergies to be realized within 12 months,Jan-25,30000
(15) Pre-opening costs and start up fees,Jan-25,314000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Jan-25,493000
(18) Integration Expenses,Jan-25,247000
(19) Expense recorded in relation to earn-outs,Jan-25,27000
(20) Non cash charges related to swap contracts or FASB123 R,Jan-25,0
(21) Expenses related to the debt transaction,Jan-25,0
(22) Non-cash gains from sale of assets,Jan-25,0
(23) Non-cash gains unrelated to sale of assets,Jan-25,0
(04) Non-cash losses from asset dispositions,Feb-25,26000
(05) Equity compensation expense and impairment charges,Feb-25,306000
(06) Transaction costs related to loan,Feb-25,0
(07) Administrative agent fees related to loan,Feb-25,9000
(08) Management fees paid to Access Holdings and BOD fees,Feb-25,34000
(09) Purchase price adjustments; items covered by indemnification,Feb-25,0
(10) Costs related to permitted acquisitions,Feb-25,0
(10a) Costs related to permitted acquisitions - consummated,Feb-25,763000
(10b) Costs related to permitted acquisitions - dead deals,Feb-25,0
(10) Costs related to permitted acquisitions,Feb-25,763000
(13) Non cash items related to purchase accounting adjustments,Feb-25,0
(14) Synergies to be realized within 12 months,Feb-25,151000
(15) Pre-opening costs and start up fees,Feb-25,274000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Feb-25,766000
(18) Integration Expenses,Feb-25,171000
(19) Expense recorded in relation to earn-outs,Feb-25,24000
(20) Non cash charges related to swap contracts or FASB123 R,Feb-25,0
(21) Expenses related to the debt transaction,Feb-25,0
(22) Non-cash gains from sale of assets,Feb-25,0
(23) Non-cash gains unrelated to sale of assets,Feb-25,0
(04) Non-cash losses from asset dispositions,Mar-25,0
(05) Equity compensation expense and impairment charges,Mar-25,307000
(06) Transaction costs related to loan,Mar-25,0
(07) Administrative agent fees related to loan,Mar-25,8000
(08) Management fees paid to Access Holdings and BOD fees,Mar-25,66000
(09) Purchase price adjustments; items covered by indemnification,Mar-25,0
(10) Costs related to permitted acquisitions,Mar-25,0
(10a) Costs related to permitted acquisitions - consummated,Mar-25,1354000
(10b) Costs related to permitted acquisitions - dead deals,Mar-25,0
(10) Costs related to permitted acquisitions,Mar-25,1354000
(13) Non cash items related to purchase accounting adjustments,Mar-25,0
(14) Synergies to be realized within 12 months,Mar-25,-70000
(15) Pre-opening costs and start up fees,Mar-25,226000
"(16) Extraordinary items, restructuring costs, retention bonus, consulting",Mar-25,490000
(18) Integration Expenses,Mar-25,228000
(19) Expense recorded in relation to earn-outs,Mar-25,27000
(20) Non cash charges related to swap contracts or FASB123 R,Mar-25,0
(21) Expenses related to the debt transaction,Mar-25,0
