ACCOUNT_ID,ACCOUNT_NAME,ACCOUNT_NUMBER,SUBSIDIARY_ID,SUBSIDIARY_NAME,CLASS_ID,CLASS_NAME,PROJECT_ID,PROJECT_NAME,DEPARTMENT_ID,DEPARTMENT_NAME,LOCATION_ID,LOCATION_NAME,METRIC_L1,METRIC_L2,METRIC_L3,METRIC_L4,METRIC_L5,METRIC_L6,CASH_FLOW_L1,CASH_FLOW_L2,CASH_FLOW_L3,IS_BS,IS_ADJ
172,Car Wash Supplies,500200,,,,,,,,,519,C30-Scottsdale-N Scottsdale Rd,COGS,Car Wash COGS,500200 - Car Wash Supplies,,,,,,,IS,0
171,Car Wash Chemicals,500100,,,38,,,,,,1295,COBB308-Meridian-N Linder,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,1
979,Retail COGS - Gifts,500825,,,,,,,,,504,C14-Cave Creek,COGS,Retail COGS,500825 - Retail COGS - Gifts,,,,,,,IS,0
171,Car Wash Chemicals,500100,,,29,,192,21_South Parkersburg -- Pike Street,,,360,Ultimate Shine Corporate,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,1
173,Car Wash Detail Supplies,500300,,,,,,,,,532,C50-Glendale-N 67th Ave,COGS,Car Wash COGS,500300 - Car Wash Detail Supplies,,,,,,,IS,0
171,Car Wash Chemicals,500100,,,35,,,,,,140,VA Manassas (Embassy),COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,1
988,Retail COGS - Fast Food,500829,,,,,,,,,497,C02-Phoenix,COGS,Retail COGS,500829 - Retail COGS - Fast Food,,,,,,,IS,0
172,Car Wash Supplies,500200,,,,,,,87,SPOT TCG CA 15,169,OK Yukon - E Main,COGS,Car Wash COGS,500200 - Car Wash Supplies,,,,,,,IS,0
172,Car Wash Supplies,500200,,,,,,,,,434,OK Tulsa - E Admiral (Mr. Klean),COGS,Car Wash COGS,500200 - Car Wash Supplies,,,,,,,IS,0
171,Car Wash Chemicals,500100,,,,,,,91,SPOT TCG CA 18,170,OK Lawton - NW Cache,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,0
171,Car Wash Chemicals,500100,,,,,192,21_South Parkersburg -- Pike Street,,,355,VA Rocky Mount 013,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,0
171,Car Wash Chemicals,500100,,,38,,,,,,1294,COBB307-Eagle-E State,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,1
171,Car Wash Chemicals,500100,,,36,,,,,,481,OH Dayton - Brandt Pike,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,1
171,Car Wash Chemicals,500100,,,36,,,,,,127,VA Manassas,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,1
975,Retail COGS - OTP,500823,,,,,,,,,501,C10-Tempe Autoplex,COGS,Retail COGS,500823 - Retail COGS - OTP,,,,,,,IS,0
171,Car Wash Chemicals,500100,,,,,,,100,CAR WASH,567,C125-Denver - Colorado Blvd,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,0
174,Car Lube Costs,500400,,,,,,,103,DETAIL,519,C30-Scottsdale-N Scottsdale Rd,COGS,Car Wash COGS,500400 - Car Lube Costs,,,,,,,IS,0
977,Retail COGS - NA Beverage,500824,,,,,,,106,RETAIL,502,C11-Tempe Kyrene,COGS,Retail COGS,500824 - Retail COGS - NA Beverage,,,,,,,IS,0
971,Retail COGS - Tobacco,500821,,,,,,,106,RETAIL,496,C01-Scottsdale,COGS,Retail COGS,500821 - Retail COGS - Tobacco,,,,,,,IS,0
171,Car Wash Chemicals,500100,,,,,,,100,CAR WASH,508,C18-Ironwood,COGS,Car Wash COGS,500100 - Car Wash Chemicals,,,,,,,IS,0
