ACCOUNT_ID,ACCOUNT_NUMBER,SUBSIDIARY_ID,CLASS_ID,DEPARTMENT_ID,LOCATION_ID,Metric_Mapping
52,129000,,,,635,Assets
240,670130,,,,345,Field G&A
79,160000,,,,564,Assets
1720,181151,,,,498,
65,150100,,,,510,
275,700240,,,,521,Field G&A
73,150900,,,,58,Assets
66,150200,,,,143,Assets
600,800299,,,,542,
71,150700,,,,554,Assets
65,150100,,,,571,
266,700115,,,,346,Field G&A
249,680040,,,,515,Repairs & Maintenance
266,700115,,,,565,Field G&A
274,700235,,,,65,Field G&A
243,670205,,,,4,
111,220100,,,,520,Liability
275,700240,,,,210,Field G&A
288,700380,,,,568,Field G&A
274,700235,,,,452,Field G&A
214,630255,,,,439,Direct Operating Expense
1859,151050,,,,498,Assets
74,151000,,,,132,Assets
209,630125,,,,1291,Direct Operating Expense
391,S40099,,,,66,
1887,600160,,,,436,
1585,700346,,,,516,
1926,690080,,,,65,Marketing & Advertising
225,660040,,,,66,Direct Operating Expense
225,660040,,,,561,Direct Operating Expense
1693,170600,,,,616,Assets
266,700115,,,,592,Field G&A
1596,230088,,,,521,Liability
1714,210430,,,,547,Liability
1956,690090,,,,501,Marketing & Advertising
65,150100,,,,435,
111,220100,,,,22,Liability
1688,690069,,,,1289,Marketing & Advertising
162,460125,,,,551,Sales
39,101900,,,,541,Assets
1145,200001,,,,522,Liability
79,160000,,,,545,Assets
216,630265,,,,490,Direct Operating Expense
228,660070,,,,529,Direct Operating Expense
79,160000,,,,522,Assets
1407,240006,,,,1289,Liability
182,600125,,,,445,Direct Operating Expense
39,101900,,,,551,Assets
313,800310,,,,514,Deal Expenses
81,170100,,,,566,Assets
266,700115,,,,513,Field G&A
1080,150110,,,,66,Assets
111,220100,,,,544,Liability
65,150100,,,,516,
111,220100,,,,2,Liability
265,700110,,,,139,Field G&A
144,330000,,,,594,Equity
228,660070,,,,568,Direct Operating Expense
286,700350,,,,107,Field G&A
279,700305,,,,613,Field G&A
279,700305,,,,504,Field G&A
585,140151,,,,63,Assets
1956,690090,,,,130,Marketing & Advertising
119,230100,,,,609,Liability
