STAGE_NAME,MAPPED_STAGE_NAME,SORT_ORDER
Initial Screening,Opportunity,1
Identified Opportunity,Opportunity,2
Site Identified,Opportunity,3
Opportunity Screened,Opportunity,4
Sales Checklist,Opportunity,5
NDA Secured,Opportunity,6
Next Steps Scheduled,Opportunity,7
Nurturing,Opportunity,8
Demo Conducted,Opportunity,9
Completed Onsight / MP,Opportunity,10
Design,Opportunity,11
Design/Permitting,Opportunity,12
Diligence,Opportunity,13
Secure Proposal Opportunity,Opportunity,14
Engagement,Opportunity,15
Site Ramping,Opportunity,16
Proposal Submitted,Proposal Requested,17
Preparing LOI,Proposal Requested,18
Proposal Delivered,Proposal Sent,19
Quote Sent,Proposal Sent,20
Quote Negotiation / Review,Negotiation,21
Negotiation,Negotiation,22
Negotiations,Negotiation,23
Contract Under Negotiation,Negotiation,24
Legal Review,Negotiation,25
Contract Sent,Negotiation,26
Verbal Authorization,Negotiation,27
LOI Process,Negotiation,28
Executed LOI,Negotiation,29
Completed,Closed Won,30
Closed Won,Closed Won,31
Closed Lost,Closed Lost,32
Contract Lost,Closed Lost,33
Eliminated,Closed Lost,34
Unqualified,Closed Lost,35
