DIM_CLASS_ID,CLASS_NAME,PARENT_CLASS_NAME,ORGANIZATION_LEVEL_NAME,DIM_ORGANIZATION_ID
779,Sport & Story : Production : Fairfield WBB (Fairfield University),Sport & Story,Tech,TECH
781,Playfly Global Partnerships : Sales : Playfly Access : Buffalo Sabres,Playfly Global Partnerships,Global Partnerships,PGP
782,Playfly Sports Properties : Playfly Max : University of Virginia,Playfly Sports Properties,Sports Properties,PSP
780,Playfly Global Partnerships : Sales : Playfly Access : Arizona Diamondbacks,Playfly Global Partnerships,Global Partnerships,PGP
778,Sport & Story : Newsletter : Tiger Exclusive (Auburn University),Sport & Story,Tech,TECH
774,Sport & Story : Newsletter : Wazzu Morning Brew (Washington State University),Sport & Story,Tech,TECH
497,Digital Media : RSN : MSG - Digital,Digital Media,Media,MEDIA
486,Digital Media : RSN : Bally Sports South - Digital,Digital Media,Media,MEDIA
587,Sport & Story : Podcast : Pokes Pod (Oklahoma State),Sport & Story,Tech,TECH
502,Digital Media : RSN : NBC Sports Chicago - Digital,Digital Media,Media,MEDIA
603,Sport & Story : Newsletter : Pirates Brew (ECU),Sport & Story,Tech,TECH
598,Digital Media : Non-RSN : Amazon - Digital,Digital Media,Media,MEDIA
433,Playfly Global Partnerships : Sales : Playfly Esports : Non-League,Playfly Global Partnerships,Global Partnerships,PGP
422,Sport & Story : Podcast : The Arkansas Razorback Daily (U of Arkansas),Sport & Story,Tech,TECH
582,Playfly Sports Properties : College : Huskers Athletic Partners,Playfly Sports Properties,Sports Properties,PSP
438,Playfly Sports Properties : College : ECU Sports Properties,Playfly Sports Properties,Sports Properties,PSP
241,Playfly Sports Properties : College : MSU Sports Properties,Playfly Sports Properties,Sports Properties,PSP
310,Home Team Sports : Non-RSN : Portland Blazers,Home Team Sports,Sports Properties,PSP
278,Home Team Sports : RSN : MSG Plus,Home Team Sports,Sports Properties,PSP
635,Home Team Sports : RSN : ION,Home Team Sports,Sports Properties,PSP
518,Digital Media : Non-RSN : NY Mets - Digital,Digital Media,Media,MEDIA
742,Sport & Story : Newsletter : One Troy Today (Troy),Sport & Story,Tech,TECH
710,Playfly Global Partnerships : Sales : Playfly Access : Arizona Coyotes,Playfly Global Partnerships,Global Partnerships,PGP
726,Sport & Story : Newsletter : Good in the Game (The National Football Foundation),Sport & Story,Tech,TECH
694,Home Team Sports : RSN : Gray Media Group-Atlanta Hawks,Home Team Sports,Sports Properties,PSP
662,Home Team Sports : RSN : Scripps Network Vegas Golden Knights,Home Team Sports,Sports Properties,PSP
678,Digital Media : RSN : Scripps Network Vegas Golden Knights - Digital,Digital Media,Media,MEDIA
646,Playfly Global Partnerships : Sales : Playfly Access : San Diego Padres,Playfly Global Partnerships,Global Partnerships,PGP
209,Home Team Sports,Home Team Sports,Sports Properties,PSP
494,Digital Media : RSN : HTS Admin - Digital,Digital Media,Media,MEDIA
254,Playfly Sports Properties : Other MMR : Las Vegas Invitational,Playfly Sports Properties,Sports Properties,PSP
595,Playfly Global Partnerships : Sales : Playfly Access : Dallas Mavericks,Playfly Global Partnerships,Global Partnerships,PGP
675,Digital Media : RSN : Nexstar Media Washington DC - Digital,Digital Media,Media,MEDIA
297,Home Team Sports : RSN : Bally Sports Wisconsin,Home Team Sports,Sports Properties,PSP
734,Sport & Story : Production : First Point Volleyball Foundation,Sport & Story,Tech,TECH
739,Playfly Global Partnerships : Sales : Playfly Access : DC United,Playfly Global Partnerships,Global Partnerships,PGP
489,Digital Media : RSN : Bally Sports Southwest - Digital,Digital Media,Media,MEDIA
590,Sport & Story : Podcast : Gamecock Talk (University of South Carolina),Sport & Story,Tech,TECH
446,Sport & Story : Subscription : Penn State (Nittany Lions+),Sport & Story,Tech,TECH
606,Owned Media : JohnWallstreet,Owned Media,Media,MEDIA
441,WMT,WMT,Tech,TECH
430,Tech & Digital : T&D Overhead,Tech & Digital,Tech,TECH
718,Playfly Global Partnerships : Sales : Playfly Access : Kansas City Royals,Playfly Global Partnerships,Global Partnerships,PGP
686,Playfly Global Partnerships : Sales : Premier Partnerships : Toyota Music Factory,Playfly Global Partnerships,Global Partnerships,PGP
611,Sport & Story : Newsletter : Shocker Brew (Wichita State),Sport & Story,Tech,TECH
478,Digital Media : RSN : Bally Sports Detroit - Digital,Digital Media,Media,MEDIA
286,Home Team Sports : RSN : Bally Sports Detroit,Home Team Sports,Sports Properties,PSP
510,Digital Media : RSN : Spectrum Reach Sportsnet LA - Digital,Digital Media,Media,MEDIA
750,Sport & Story : Production : Coach Cal,Sport & Story,Tech,TECH
233,Playfly Sports Properties : College : ORU Sports Properties,Playfly Sports Properties,Sports Properties,PSP
302,Home Team Sports : Non-RSN : Buffalo Sabres,Home Team Sports,Sports Properties,PSP
249,Playfly Sports Properties : High School : NMAA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
670,Home Team Sports : RSN : Scripps Network Arizona Coyotes,Home Team Sports,Sports Properties,PSP
771,Playfly Sports Properties : Playfly Max : Washington State University,Playfly Sports Properties,Sports Properties,PSP
217,Playfly Sports Properties : Other MMR,Playfly Sports Properties,Sports Properties,PSP
654,Sport & Story : Podcast : CockTale Hour (University of South Carolina),Sport & Story,Tech,TECH
594,Playfly Global Partnerships : Sales : Playfly Access : St. Louis Cardinals,Playfly Global Partnerships,Global Partnerships,PGP
775,Sport & Story : Podcast : Washington State Podcast (Washington State University),Sport & Story,Tech,TECH
253,Playfly Sports Properties : Other MMR : USOPC,Playfly Sports Properties,Sports Properties,PSP
490,Digital Media : RSN : Bally Sports SUN Sports - Digital,Digital Media,Media,MEDIA
498,Digital Media : RSN : MSG Plus - Digital,Digital Media,Media,MEDIA
442,Sport & Story : Newsletter : Nittany Lion Brew (Penn State),Sport & Story,Tech,TECH
602,Sport & Story : Newsletter : Space U Brew (UCF),Sport & Story,Tech,TECH
426,Digital Media : Non-RSN : Bluewire Podcast - Digital,Digital Media,Media,MEDIA
586,Sport & Story : Podcast : The Old Pokes Show,Sport & Story,Tech,TECH
434,Playfly Global Partnerships : Sales : Playfly Esports : College Non-League,Playfly Global Partnerships,Global Partnerships,PGP
450,Sport & Story : Subscription : WVU (Country Roads+),Sport & Story,Tech,TECH
482,Digital Media : RSN : Bally Sports North - Digital,Digital Media,Media,MEDIA
506,Digital Media : RSN : NESN - Digital,Digital Media,Media,MEDIA
258,Home Team Sports : RSN : AT&T SportsNet Rocky Mountain,Home Team Sports,Sports Properties,PSP
229,Playfly Sports Properties : College : Shocker Sports Properties,Playfly Sports Properties,Sports Properties,PSP
237,Playfly Sports Properties : College : Georgetown Sports Properties,Playfly Sports Properties,Sports Properties,PSP
245,Playfly Sports Properties : High School : CIF Sports Properties,Playfly Sports Properties,Sports Properties,PSP
213,Tech & Digital,Tech & Digital,Tech,TECH
221,Playfly Global Partnerships : Sales : Playfly Esports : Curriculum,Playfly Global Partnerships,Global Partnerships,PGP
773,Sport & Story : Newsletter : Butler Brew (Butler University),Sport & Story,Tech,TECH
673,Home Team Sports : RSN : Nexstar Media Tampa,Home Team Sports,Sports Properties,PSP
496,Digital Media : RSN : MASN - Digital,Digital Media,Media,MEDIA
492,Digital Media : RSN : Bally Sports Wisconsin - Digital,Digital Media,Media,MEDIA
300,Home Team Sports : RSN : Spectrum Reach SportsNet,Home Team Sports,Sports Properties,PSP
737,Sport & Story : Production : Army Documentary,Sport & Story,Tech,TECH
427,Playfly Sports Properties : College : USC Sports Properties : Founder's Suite,Playfly Sports Properties,Sports Properties,PSP
604,Playfly Sports Properties : Other MMR : Poker Go,Playfly Sports Properties,Sports Properties,PSP
592,Sport & Story : Podcast : OSU MAX Podcast Network (Oklahoma State),Sport & Story,Tech,TECH
588,Sport & Story : Production,Sport & Story,Tech,TECH
443,Sport & Story : Newsletter : LSU Brew,Sport & Story,Tech,TECH
439,Playfly Sports Properties : College : SJSU Sports Properties,Playfly Sports Properties,Sports Properties,PSP
508,Digital Media : RSN : SNY - Digital,Digital Media,Media,MEDIA
476,Digital Media : RSN : AT&T SportsNet Southwest - Digital,Digital Media,Media,MEDIA
480,Digital Media : RSN : Bally Sports Great Lakes - Digital,Digital Media,Media,MEDIA
256,Playfly Sports Properties : College : USC Sports Properties : LA Coliseum,Playfly Sports Properties,Sports Properties,PSP
524,Digital Media : Non-RSN : Utah Jazz - Digital,Digital Media,Media,MEDIA
304,Home Team Sports : Non-RSN : Memphis Grizzlies,Home Team Sports,Sports Properties,PSP
288,Home Team Sports : RSN : Bally Sports Midwest,Home Team Sports,Sports Properties,PSP
640,Home Team Sports : RSN : Gray Media Las Vegas Aces,Home Team Sports,Sports Properties,PSP
769,Playfly Sports Properties : High School : OFSAA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
733,Sport & Story : Newsletter : Olympic Brew (Stanford),Sport & Story,Tech,TECH
296,Home Team Sports : RSN : Bally Sports West,Home Team Sports,Sports Properties,PSP
729,Playfly Sports Properties : Playfly Max,Playfly Sports Properties,Sports Properties,PSP
292,Home Team Sports : RSN : Bally Sports South,Home Team Sports,Sports Properties,PSP
500,Digital Media : RSN : NBC Sports Boston - Digital,Digital Media,Media,MEDIA
600,Sport & Story : Podcast : That's the Tea (U of Arkansas),Sport & Story,Tech,TECH
488,Digital Media : RSN : Bally Sports Southern Cal - Digital,Digital Media,Media,MEDIA
484,Digital Media : RSN : Bally Sports Oklahoma City - Digital,Digital Media,Media,MEDIA
431,PF 22 Cassatt,PF 22 Cassatt,Corporate,CORP
596,Playfly Sports Properties : College : Baylor Sports Properties,Playfly Sports Properties,Sports Properties,PSP
447,Playfly Sports Properties : College : GMU Sports Properties,Playfly Sports Properties,Sports Properties,PSP
584,Playfly Sports Properties : High School : BC School Sports Properties,Playfly Sports Properties,Sports Properties,PSP
580,Sport & Story : Newsletter : Terrapins Brew (Maryland),Sport & Story,Tech,TECH
435,WMT Digital,WMT Digital,Tech,TECH
520,Digital Media : Non-RSN : Pac 12 Network - Digital,Digital Media,Media,MEDIA
419,Sport & Story : Podcast : The Mighty Oregon (U of Oregon),Sport & Story,Tech,TECH
637,Sport & Story : Newsletter : Big Blue Brew (Univ of Kentucky),Sport & Story,Tech,TECH
312,Home Team Sports : Non-RSN : Utah Jazz,Home Team Sports,Sports Properties,PSP
308,Home Team Sports : Non-RSN : OK Thunder,Home Team Sports,Sports Properties,PSP
516,Digital Media : Non-RSN : Minnesota Wild - Digital,Digital Media,Media,MEDIA
504,Digital Media : RSN : NBC Sports Philadelphia - Digital,Digital Media,Media,MEDIA
280,Home Team Sports : RSN : Marquee Sports Network,Home Team Sports,Sports Properties,PSP
276,Home Team Sports : RSN : MASN,Home Team Sports,Sports Properties,PSP
255,Playfly Sports Properties : College : Big East Sports Properties,Playfly Sports Properties,Sports Properties,PSP
428,Playfly Sports Properties : College : USC Sports Properties : Harbor Sign,Playfly Sports Properties,Sports Properties,PSP
424,Sport & Story : Newsletter : The Arkansas Brew (U of Arkansas),Sport & Story,Tech,TECH
444,Sport & Story : Newsletter : The Cowboy Brew (Oklahoma State),Sport & Story,Tech,TECH
440,Vision Insights,Vision Insights,Corporate,CORP
448,Playfly Sports Properties : High School : UHSAA Sports Properties,Playfly Sports Properties,Sports Properties,PSP
432,Event Dynamic,Event Dynamic,Global Partnerships,PGP
436,Playfly Global Partnerships : Sales : Premier Partnerships,Playfly Global Partnerships,Global Partnerships,PGP
211,Playfly Global Partnerships : Sales : Playfly Esports,Playfly Global Partnerships,Global Partnerships,PGP
239,Playfly Sports Properties : College : Auburn Sports Properties,Playfly Sports Properties,Sports Properties,PSP
