DIM_SUBSIDIARY_ID,SUBSIDIARY_NAME,COMPANY_NAME,DIM_COMPANY_ID
1,Parent Company,Playfly LLC,79AGT
2,"Parent Company : Playfly, LLC",Playfly LLC,79AGT
3,"Parent Company : Playfly, LLC : PF 22 Cassatt",Playfly LLC,79AGT
5,"Parent Company : WMT Digital, LLC (OLD)",WMT Digital LLC,79AWD
6,Parent Company : Elimination,Playfly LLC,79AGT
7,"Parent Company : Playfly, LLC : Elimination",Playfly LLC,79AGT
9,"Parent Company : WMT Digital, LLC",WMT Digital LLC,79AWD
10,Parent Company : Sports Operating Holdings Canada Limited,Sports Operating LLC,79B2Y
12,Parent Company : Playfly Europe,Playfly LLC,79AGT
13,Parent Company : Paragon Sports Marketing LLC,Playfly LLC,79AGT
14,Parent Company : Vision Insights,Playfly LLC,79AGT

