DIM_LOCATION_ID,Location_Name,Dim_HR_Location_ID,HR_Location_Name
605,C63-Gilbert-Lindsay & Germann,C24,COBB063-Gilbert-Lindsay
358,WV Dunbar - Village Plaza 016,E03,ULTMHQ4-Dunbar-Dunbar Vil
1293,COBB306-Nampa-Caldwell,D43,COBBHQ3-Nampa-Caldwell
474,OH Heath Hebron,E01,ULTMHQ2-Heath-Hebron
4,WV Morgantown Mileground,C95,ULTM043-Morgantown-Milegr
594,C49-Queen Creek-Hunt & Empire,B90,COBB049-Queen Creek-W Hun
581,C124-Wadsworth Pkwy,B73,COBB124-Westminster-Wadsw
0,,D44,COBBHQ4–Boise-W Hays
18,D65 -- AZ Phoenix - Thunderbird,D65,COBB204 -Phoenix-Thunder
475,VA Roanoke Electric Rd,E02,ULTMHQ3-Roanoke-Electric
625,C98-Thornton-120th & Holly,B75,COBB098-Thornton-120th &
0,,E07,COBB143-Denver-Broadway
479,OH Springfield Bechtle Ave,C10,ULTM026-Springfield-N Bec
617,C88-Denver-E Evans,B81,COBB088-Denver-E Evans
0,,D81,SPTLRMT-PA-Dauphin-Harris
138,MD Glen Burnie (Bowl America),B99,FLAG024-Glen Burnie-Ritch
0,,D80,SPTLRMT-PA-Dauphin-Hummel
1284,C137 Castle Rock – Carnaby,C97,COBB137-Castle Rock-Carna
571,C48-Gilbert - S. Higley,B85,COBB048-Gilbert-S Higley
612,C82-Parker-Parker & Pine,B82,COBB082-Parker-Twenty Mil
0,,D82,SPTLRMT-CA-Los Angeles-Co
19,Avondale - N Avondale,D64,COBB203-Avondale-N Avonda
496,C01-Scottsdale,A05,COBB001-Scottsdale-N Pima
497,C02-Phoenix,A17,COBB002-Phoenix-E Bell
498,C03-Chandler,A10,COBB003-Chandler-S Alma S
499,C04-Surprise,A00,COBB004-Surprise-W Bell
500,C05-Mesa,A07,COBB005-Mesa-S Signal But
572,C100-Castle Pines-7621 Beverly Blvd,B72,COBB100-Castle Pines-CP
550,C101-Littleton - S Wadsworth Blvd,B35,COBB101-Littleton-S Wadsw
551,C102-Aurora - S Havana St,A76,COBB102-Aurora-S Havana
552,C103-Littleton - S Broadway,A74,COBB103-Littleton-S Broad
553,C104-Thornton - E 144th Ave,A75,COBB104-Thornton-E 144th
554,C105-Thornton - S Wadsworth Blvd,A80,COBB105-Lakewood-S Wadswo
555,C106-Littleton - County Line Pl,A81,COBB106-Highlands Ranch-C
556,C107-Aurora - Smoky Hill & Yellowstone,A70,COBB107-Aurora-E Smokey H
558,C108-Hess Rd,B30,COBB108-Parker-Hess
501,C10-Tempe Autoplex,A23,COBB010-Tempe-S Autoplex
559,C110-Parker - Cottonwood Dr,B16,COBB110-Parker-Cottonwood
560,C111-Fort Collins - S Timberline Rd,B05,COBB111-Fort Collins-S Ti
561,C112-Fort Collins - College Ave,B06,COBB112-Fort Collins-N Co
562,C114-Thornton - Grant St,A98,COBB114-Thornton-S Grant
564,C115-Thornton - E 104th Ave,B48,COBB115-Thornton-E 104th
565,C116-Commerce City - Belle Creek Blvd,B09,COBB116-Commerce City-Bel
566,C117-Lakewood - Alameda Pkwy,B07,COBB117-Lakewood-W Alamed
502,C11-Tempe Kyrene,A21,COBB011-Tempe-W Baseline
567,C125-Denver - Colorado Blvd,B24,COBB125-Denver-Colorado
568,C126-Thornton - Grant St,B26,COBB126-Thornton-Grant
503,C12-Gilbert,A03,COBB012-Gilbert-N Val Vis
504,C14-Cave Creek,A15,COBB014-Cave Creek-N Tatu
505,C15-Glendale,A18,COBB015-Glendale-W Bell
506,C16-Gilbert Queen Creek,A16,COBB016-Gilbert-E Queen C
507,C17-Mesa Ellsworth,B20,COBB017-Mesa-S Ellsworth
508,C18-Ironwood,B14,COBB018-San Tan Valley-N
509,C19-Ahwatukee,A40,COBB019-Phoenix-E Chandle
510,C20-Phoenix 7th Street,A24,COBB020-Phoenix-N 7th
511,C22-Chandler,A11,COBB022-Chandler-S Arizon
512,C23-Laveen,A20,COBB023-Laveen-W Basline
513,C24-Beardsley,A09,COBB024-Phoenix-N Cave Cr
514,C25-Gantzel,A42,COBB025-San Tan Valley-N
515,C26-Phoenix Indian School,A27,COBB026-Phoenix-E Indian
516,C27-Tempte Kyrene Elliot,A22,COBB027-Tempe-S Kyrene
517,C28-Mesa Alma School,A08,COBB028-Mesa-S Alma Schoo
518,C29-Phoenix Baseline,A02,COBB029-Phoenix-E Baselin
519,C30-Scottsdale-N Scottsdale Rd,A12,COBB030-Scottsdale-N Scot
520,C31-Tempe Ray & Priest,A25,COBB031-Tempe-S Priest
521,C32-Gilbert W Warner Rd,A04,COBB032-Gilbert-W Warner
522,C33-Litchfield W Indian School,A01,COBB033-Litchfield Park-W
523,C34-Gilbert-S Val Vista Dr,A13,COBB034-Gilbert-S Val Vis
524,C35-Mesa-E Southern Ave,A19,COBB035-Mesa-E Southern
525,C36-Glendale-67th Ave & Cactus,A49,COBB036-Glendale-N 67th
526,C37-Phoenix-W Happy Valley Rd,A06,COBB037-Phoenix-W Happy V
527,C38-Phoenix-N 75th Ave,A14,COBB038-Phoenix-N 75th
528,C39-Phoenix-W Indian School,A43,COBB039-Phoenix-W Indian
529,C40-W Yuma-Good Year,B25,COBB040-Goodyear-W Yuma
589,C41 Scottsdale-Indian Bend & Pima,B70,COBB041-Scottsdale-Indian
590,C42-Avondale-N 99th,B65,COBB042-Avondale-N 99th
530,C43-Scottsdale-E Indian School,A59,COBB043-Scottsdale-E Indi
531,C44-Litchfield Park-N Dysart,A69,COBB044-Litchfield Park-N
591,C45-Surprise-W Waddell,B67,COBB045-Surprise-W Waddel
592,C46-Peoria - W Northern,B76,COBB046-Glendale-SEC Nort
532,C50-Glendale-N 67th Ave,A79,COBB050-Chandler-W Ray
533,C51-Phoenix-N 16th St,A72,COBB051-Phoenix-N 16th
596,C52-Phoenix-25th & Peoria,B77,COBB052-Phoenix-25th & Pe
597,C53-Phoenix-67th & Lower Buckeye,B71,COBB053-Phoenix-67th & Lo
557,C54-McDowell Rd,B31,COBB054-Tolleson-W McDowe
534,C57-Phoenix-W Bethany Home,B42,COBB057-Phoenix-W Bethany
601,C59-Phoenix-67th & McDowell,B86,COBB059-Phoenix-67th & Mc
602,C60-Phoenix-N 51st Ave,B84,COBB060-Phoenix-51st & Va
607,C65-Phoenix-51st & Southern,B87,COBB065-Phoenix-51st-5120
535,C70-Aurora - Tower Rd & 38th Ave,A26,COBB070-Aurora-Tower
