DIM_SUBSIDIARY_ID,SUBSIDIARY_NAME,COMPANY_NAME,DIM_COMPANY_ID
1,Spotless Brands,Spotless Brands LLC,Z6417
2,Okie Express Auto Wash,Okie Opco LLC,Z644W
3,Cobblestone Auto Spa,CobbleStone OPCO,Z64R4
4,Ultimate Shine Car Wash : WV Morgantown Mileground,Ultimate Shine OPCO LLC,Z64MQ
5,Flagship Car Wash : MD Brandywine - Cadillac Dr (Smitty's),Flagship OPCO LLC,Z64EV
6,Flagship Car Wash : NJ Vineland - Delsea Dr,Flagship OPCO LLC,Z64EV
7,Flagship Car Wash : PA Chalfont - W. Butler Ave,Flagship OPCO LLC,Z64EV
8,"Flagship Car Wash : PA, Phoenixville - Kimberton Rd",Flagship OPCO LLC,Z64EV
9,Flagship Car Wash : Premier Shine Car Wash,Flagship OPCO LLC,Z64EV
10,Flagship Car Wash : MD Elkton - Commerce Center Dr,Flagship OPCO LLC,Z64EV
11,Flagship Car Wash : NJ Brooklawn - Browning Ln,Flagship OPCO LLC,Z64EV
12,Flagship Car Wash : PA Trooper- Ridge Pike,Flagship OPCO LLC,Z64EV
13,Flagship Car Wash : Clean Machine,Flagship OPCO LLC,Z64EV
14,Flagship Car Wash : DE Wilmington - Kirkwood Hwy,Flagship OPCO LLC,Z64EV
15,Cobblestone Auto Spa : COBB200-2828 W Thunderbird Rd,CobbleStone OPCO,Z64R4
16,Flagship Car Wash : TBD,Flagship OPCO LLC,Z64EV
17,Cobblestone Auto Spa : D64 -- AZ Avondale - N Avondale,CobbleStone OPCO,Z64R4
18,Cobblestone Auto Spa : D65 -- AZ Phoenix - Thunderbird,CobbleStone OPCO,Z64R4
19,Cobblestone Auto Spa : Avondale - N Avondale,CobbleStone OPCO,Z64R4
20,Cobblestone Auto Spa : Phoenix- Thunderbird,CobbleStone OPCO,Z64R4
21,Flagship Car Wash : NJ Audubon - Kings Hwy,Flagship OPCO LLC,Z64EV
22,Cobblestone Auto Spa : COBB141-Aurora-S-Parker,CobbleStone OPCO,Z64R4
23,Flagship Car Wash : MD Bowie - Superior LN (FLAG057),Flagship OPCO LLC,Z64EV
24,Flagship Car Wash : NJ Brick Township - NJ-88 (FLAG079),Flagship OPCO LLC,Z64EV
25,Flagship Car Wash : PA Royersford - Main St (FLAG125),Flagship OPCO LLC,Z64EV
26,Flagship Car Wash : PA Downingtown - Wallace Ave (FLAG126),Flagship OPCO LLC,Z64EV
27,Flagship Car Wash : Flag NE Corp,Flagship OPCO LLC,Z64EV
28,Flagship Car Wash : VA Bristow - Braemar Village Pl (FLAG045,Flagship OPCO LLC,Z64EV
29,Flagship Car Wash : D84 FLAG114-PA Horsham-Easton,Flagship OPCO LLC,Z64EV
30,Flagship Car Wash : D85 FLAG115-PA Strafford-Lancaster,Flagship OPCO LLC,Z64EV
31,Flagship Car Wash : D86 FLAG116-PA Chester-E Market,Flagship OPCO LLC,Z64EV
32,Flagship Car Wash : D87 FLAG117-PA Warrington-Easton-75,Flagship OPCO LLC,Z64EV
33,Flagship Car Wash : D88 FLAG118-PA North Wales-Welsh,Flagship OPCO LLC,Z64EV
34,Flagship Car Wash : D89 FLAG119-PA E Norriton-W Germantown,Flagship OPCO LLC,Z64EV
35,Flagship Car Wash : D72 FLAG106-NJ Parsippany-US46,Flagship OPCO LLC,Z64EV
36,Flagship Car Wash : D45 FLAG085-PA Philadelphia-Tulip,Flagship OPCO LLC,Z64EV
37,Flagship Car Wash : D76 FLAG109-MD Rosedale-Pulaski,Flagship OPCO LLC,Z64EV
38,Flagship Car Wash : D91 FLAG121-PA Yardley - Y Langhorne Rd,Flagship OPCO LLC,Z64EV
