DIM_LOCATION_ID,LOCATION_NAME,DIM_HR_LOCATION_ID,HR_LOCATION_NAME
11,Jacksonville,60256149158,Jacksonville
11,Jacksonville,60256149159,Jacksonville
11,Jacksonville,60256149154,Jacksonville
11,Jacksonville,60256149155,Jacksonville
11,Jacksonville,60256149156,Jacksonville
11,Jacksonville,60256149157,Jacksonville
11,Jacksonville,60256149160,Jacksonville
11,Jacksonville,60256149162,Jacksonville
11,Jacksonville,60256149161,Jacksonville
,,60255985013,WagWay Group
12,Midtown,60255985008,Midtown
12,Midtown,60255985009,Midtown
12,Midtown,60255985007,Midtown
16,Surf City,60255978459,Surf City
16,Surf City,60255978458,Surf City
16,Surf City,60255978451,Surf City
16,Surf City,60255978454,Surf City
16,Surf City,60255978453,Surf City
16,Surf City,60255978455,Surf City
16,Surf City,60255978457,Surf City
16,Surf City,60255978456,Surf City
16,Surf City,60255978452,Surf City
7,Lakeshore East,60255985437,Lakeshore East
7,Lakeshore East,60255985439,Lakeshore East
7,Lakeshore East,60255985438,Lakeshore East
7,Lakeshore East,60255985436,Lakeshore East
7,Lakeshore East,60255985440,Lakeshore East
7,Lakeshore East,60255985443,Lakeshore East
7,Lakeshore East,60255985442,Lakeshore East
7,Lakeshore East,60255985441,Lakeshore East
7,Lakeshore East,60255985435,Lakeshore East
3,Streeterville,60255985613,Streeterville
3,Streeterville,60255985615,Streeterville
3,Streeterville,60255985614,Streeterville
3,Streeterville,60255985618,Streeterville
3,Streeterville,60255985619,Streeterville
3,Streeterville,60255985611,Streeterville
3,Streeterville,60255985617,Streeterville
3,Streeterville,60255985616,Streeterville
3,Streeterville,60255985612,Streeterville
2,Gold Coast,60255985434,Gold Coast
2,Gold Coast,60255985430,Gold Coast
2,Gold Coast,60255985427,Gold Coast
2,Gold Coast,60255985431,Gold Coast
2,Gold Coast,60255985426,Gold Coast
2,Gold Coast,60255985429,Gold Coast
2,Gold Coast,60255985433,Gold Coast
2,Gold Coast,60255985432,Gold Coast
2,Gold Coast,60255985428,Gold Coast
4,River North,60255985471,River North
4,River North,60255985467,River North
4,River North,60255985469,River North
4,River North,60255985470,River North
4,River North,60255985465,River North
4,River North,60255985468,River North
4,River North,60255985601,River North
4,River North,60255985466,River North
4,River North,60255985600,River North
25,Clayton,60255985005,Clayton
25,Clayton,60255985006,Clayton
25,Clayton,60255985004,Clayton
,,60255978562,North Carolina
14,Northchase,60255978480,Northchase
14,Northchase,60255978487,Northchase
14,Northchase,60255978479,Northchase
14,Northchase,60255978484,Northchase
14,Northchase,60255978482,Northchase
14,Northchase,60255978486,Northchase
14,Northchase,60255978483,Northchase
14,Northchase,60255978485,Northchase
14,Northchase,60255978481,Northchase
17,Winder,60255978447,Winder
17,Winder,60255978448,Winder
17,Winder,60255978444,Winder
17,Winder,60255978443,Winder
17,Winder,60255978449,Winder
17,Winder,60255978450,Winder
17,Winder,60255978446,Winder
17,Winder,60255978445,Winder
17,Winder,60255978442,Winder
,,60255985454,New York
8,Wicker Park,60255985622,Wicker Park
8,Wicker Park,60255985626,Wicker Park
8,Wicker Park,60255985623,Wicker Park
8,Wicker Park,60255985629,Wicker Park
8,Wicker Park,60255985627,Wicker Park
8,Wicker Park,60255985625,Wicker Park
8,Wicker Park,60255985620,Wicker Park
8,Wicker Park,60255985624,Wicker Park
8,Wicker Park,60255985621,Wicker Park
8,Wicker Park,60255985628,Wicker Park
12,Midtown,60255978571,Midtown
12,Midtown,60255978572,Midtown
12,Midtown,60255978578,Midtown
12,Midtown,60255978576,Midtown
12,Midtown,60255978581,Midtown
12,Midtown,60255978582,Midtown
